,Diagnosis_(DX),Chief_Sign,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Level_8,Level_9,Level_10
2716,high_altitude,growth discrepancy,small_for_gestational_age__,maternal_factors_,maternal_hypoxemia_,dx,,,,,,
2717,malnutrition,growth discrepancy,small_for_gestational_age__,maternal_factors_,maternal_lifestyle,dx,,,,,,
2718,smoking,growth discrepancy,small_for_gestational_age__,maternal_factors_,maternal_lifestyle,dx,,,,,,
2719,alcohol,growth discrepancy,small_for_gestational_age__,maternal_factors_,maternal_lifestyle,dx,,,,,,
2720,drugs,growth discrepancy,small_for_gestational_age__,maternal_factors_,maternal_lifestyle,dx,,,,,,
2721,gestational_hypertension/_pre-eclampsia,growth discrepancy,small_for_gestational_age__,maternal_factors_,decreased_uteroplacental_flow_,dx,,,,,,
2722,renal_insufficiency,growth discrepancy,small_for_gestational_age__,maternal_factors_,decreased_uteroplacental_flow_,dx,,,,,,
2723,diabetes_mellitus,growth discrepancy,small_for_gestational_age__,maternal_factors_,decreased_uteroplacental_flow_,dx,,,,,,
2724,autoimmune_disorders,growth discrepancy,small_for_gestational_age__,maternal_factors_,decreased_uteroplacental_flow_,dx,,,,,,
2725,"trisomy_13,_18,_21",growth discrepancy,small_for_gestational_age__,fetal_factors_,chromosomal_abnormalities_,dx,,,,,,
2726,"turner_syndrome,_45x",growth discrepancy,small_for_gestational_age__,fetal_factors_,chromosomal_abnormalities_,dx,,,,,,
2727,multiple_gestation,growth discrepancy,small_for_gestational_age__,fetal_factors_,multiple_gestation_,dx,,,,,,
2728,torch_infections,growth discrepancy,small_for_gestational_age__,fetal_factors_,torch_infections_,dx,,,,,,
2729,placenta_previa,growth discrepancy,small_for_gestational_age__,placental_factors_,placental_ischemia/_infarction_,_,,,,,,
2730,chronic_insufficiency,growth discrepancy,small_for_gestational_age__,placental_factors_,placental_ischemia/_infarction_,_,,,,,,
2731,placental_abruption,growth discrepancy,small_for_gestational_age__,placental_factors_,placental_abruption_,dx,,,,,,
2732,confined_placental_mosaicism,growth discrepancy,small_for_gestational_age__,placental_factors_,confined_placental_mosaicism_(rare)_,dx,,,,,,
2733,vasa_previa,growth discrepancy,small_for_gestational_age__,placental_factors_,placental_malformations_,_,,,,,,
2734,multiparity,growth discrepancy,large_for_gestational_age_,maternal_factors_,dx,,,,,,,
2735,previous_history_of_large_for_gestational_age_fetus,growth discrepancy,large_for_gestational_age_,maternal_factors_,dx,,,,,,,
2736,"aboriginal,_hispanic,_and_caucasian_races",growth discrepancy,large_for_gestational_age_,maternal_factors_,dx,,,,,,,
2737,maternal_co-morbidities,growth discrepancy,large_for_gestational_age_,maternal_factors_,dx,,,,,,,
2738,excessive_weight_gain_over_course_of_pregnancy,growth discrepancy,large_for_gestational_age_,maternal_factors_,dx,,,,,,,
2739,male_infant,growth discrepancy,large_for_gestational_age_,fetal_factors_,dx,,,,,,,
2740,prolonged_gestation,growth discrepancy,large_for_gestational_age_,fetal_factors_,dx,,,,,,,
2741,genetic_disorder,growth discrepancy,large_for_gestational_age_,fetal_factors_,dx,,,,,,,
2742,hypothyroidism,infertility,female,ovary_,decreased_fsh_,hypopituitarism,dx,,,,,
2743,hyperprolactinemia,infertility,female,ovary_,decreased_fsh_,hypopituitarism,dx,,,,,
2744,tumors,infertility,female,ovary_,decreased_fsh_,hypopituitarism,dx,,,,,
2745,weight_loss/malnutrition,infertility,female,ovary_,decreased_fsh_,hypothalamic,dx,,,,,
2746,excessive_exercise,infertility,female,ovary_,decreased_fsh_,hypothalamic,dx,,,,,
2747,stress/psychosis,infertility,female,ovary_,decreased_fsh_,hypothalamic,dx,,,,,
2748,systemic_disease,infertility,female,ovary_,decreased_fsh_,hypothalamic,dx,,,,,
2749,polycystic_ovarian_syndrome,infertility,female,ovary_,normal_fsh,dx,,,,,,
2750,obesity,infertility,female,ovary_,normal_fsh,dx,,,,,,
2751,premature_ovarian_failure,infertility,female,ovary_,increased_fsh,dx,,,,,,
2752,premenopausal_changes,infertility,female,ovary_,increased_fsh,dx,,,,,,
2753,turner’s_syndrome,infertility,female,ovary_,increased_fsh,dx,,,,,,
2754,pelvic_inflammatory_disease,infertility,female,fallopian_tube,dx,,,,,,,
2755,endometriosis,infertility,female,fallopian_tube,dx,,,,,,,
2756,adhesions,infertility,female,fallopian_tube,dx,,,,,,,
2757,previous_tubal_pregnancy,infertility,female,fallopian_tube,dx,,,,,,,
2758,congenital_anomalies,infertility,female,fallopian_tube,dx,,,,,,,
2759,fibroids/polyps,infertility,female,uterus,dx,,,,,,,
2760,asherman’s_syndrome,infertility,female,uterus,dx,,,,,,,
2761,congenital_anomalies,infertility,female,uterus,dx,,,,,,,
2762,adenomyosis,infertility,female,uterus,dx,,,,,,,
2763,unfavourable_cervical_mucous,infertility,female,uterus,dx,,,,,,,
2764,cervical_stenosis,infertility,female,uterus,dx,,,,,,,
2765,genetic_abnormality,infertility,male,sperm_production_,testicular_,dx,,,,,,
2766,cryptorchidism,infertility,male,sperm_production_,testicular_,dx,,,,,,
2767,varicocele,infertility,male,sperm_production_,testicular_,dx,,,,,,
2768,mumps_orchitis,infertility,male,sperm_production_,testicular_,dx,,,,,,
2769,"radiation,_infection,_drugs,_trauma,_torsion",infertility,male,sperm_production_,testicular_,dx,,,,,,
2770,kallmann_syndrome,infertility,male,sperm_production_,pre-testicular__,dx,,,,,,
2771,suppression_of_gonadotropins,infertility,male,sperm_production_,pre-testicular__,dx,,,,,,
2772,anabolic_steroids,infertility,male,sperm_production_,pre-testicular__,dx,,,,,,
2773,antibodies_from_infection,infertility,male,sperm_motility_,dx,,,,,,,
2774,vasectomy,infertility,male,sperm_transport_,dx,,,,,,,
2775,cystic_fibrosis_gene_mutation,infertility,male,sperm_transport_,dx,,,,,,,
2776,post-infectious_obstruction,infertility,male,sperm_transport_,dx,,,,,,,
2777,ejaculatory_duct_cysts,infertility,male,sperm_transport_,dx,,,,,,,
2778,kartagener_syndrome,infertility,male,sperm_transport_,dx,,,,,,,
2779,placental_abruption,factors affecting fetal oxygenation,uteroplacental_factors_,uteroplacental_dysfunction_,dx,,,,,,,
2780,placental_infarction,factors affecting fetal oxygenation,uteroplacental_factors_,uteroplacental_dysfunction_,dx,,,,,,,
2781,chorioamnionitis,factors affecting fetal oxygenation,uteroplacental_factors_,uteroplacental_dysfunction_,dx,,,,,,,
2782,post-dates_pregnancy,factors affecting fetal oxygenation,uteroplacental_factors_,uteroplacental_dysfunction_,dx,,,,,,,
2783,hyperstimulation,factors affecting fetal oxygenation,uteroplacental_factors_,excessive_uterine_activity_,dx,,,,,,,
2784,placental_abruption,factors affecting fetal oxygenation,uteroplacental_factors_,excessive_uterine_activity_,dx,,,,,,,
2785,fetal_anemia,factors affecting fetal oxygenation,fetal_factors,decreased_fetal_o2_carrying_capacity_,dx,,,,,,,
2786,carboxyhemoglobin,factors affecting fetal oxygenation,fetal_factors,decreased_fetal_o2_carrying_capacity_,dx,,,,,,,
2787,intrauterine_growth_restriction,factors affecting fetal oxygenation,fetal_factors,decreased_fetal_o2_carrying_capacity_,dx,,,,,,,
2788,prematurity,factors affecting fetal oxygenation,fetal_factors,decreased_fetal_o2_carrying_capacity_,dx,,,,,,,
2789,fetal_sepsis,factors affecting fetal oxygenation,fetal_factors,decreased_fetal_o2_carrying_capacity_,dx,,,,,,,
2790,oligohydramnios,factors affecting fetal oxygenation,fetal_factors,cord_compression,dx,,,,,,,
2791,cord_prolapse,factors affecting fetal oxygenation,fetal_factors,cord_compression,dx,,,,,,,
2792,cord_entanglement,factors affecting fetal oxygenation,fetal_factors,cord_compression,dx,,,,,,,
2793,fever,factors affecting fetal oxygenation,maternal_factors_,maternal_medical_conditions_,dx,,,,,,,
2794,vasculopathy,factors affecting fetal oxygenation,maternal_factors_,maternal_medical_conditions_,dx,,,,,,,
2795,hyperthyroidism,factors affecting fetal oxygenation,maternal_factors_,maternal_medical_conditions_,dx,,,,,,,
2796,antiphospholipid_syndrome,factors affecting fetal oxygenation,maternal_factors_,maternal_medical_conditions_,dx,,,,,,,
2797,hypotension,factors affecting fetal oxygenation,maternal_factors_,decreased_uterine_blood_flow_,dx,,,,,,,
2798,anesthesia,factors affecting fetal oxygenation,maternal_factors_,decreased_uterine_blood_flow_,dx,,,,,,,
2799,maternal_positioning,factors affecting fetal oxygenation,maternal_factors_,decreased_uterine_blood_flow_,dx,,,,,,,
2800,carboxyhemoglobin,factors affecting fetal oxygenation,maternal_factors_,decreased_maternal_o2_carrying_capacity_,dx,,,,,,,
2801,maternal_anemia,factors affecting fetal oxygenation,maternal_factors_,decreased_maternal_o2_carrying_capacity_,dx,,,,,,,
2802,smoking,factors affecting fetal oxygenation,maternal_factors_,decreased_maternal_arterial_o2_tension_,dx,,,,,,,
2803,hypoventilation,factors affecting fetal oxygenation,maternal_factors_,decreased_maternal_arterial_o2_tension_,dx,,,,,,,
2804,respiratory_disease,factors affecting fetal oxygenation,maternal_factors_,decreased_maternal_arterial_o2_tension_,dx,,,,,,,
2805,seizure,factors affecting fetal oxygenation,maternal_factors_,decreased_maternal_arterial_o2_tension_,dx,,,,,,,
2806,trauma,factors affecting fetal oxygenation,maternal_factors_,decreased_maternal_arterial_o2_tension_,dx,,,,,,,
2807,distended_bladder,pelvic mass,non-gynecologic_,genitourinary_,dx,,,,,,,
2808,bladder_cancer,pelvic mass,non-gynecologic_,genitourinary_,dx,,,,,,,
2809,pelvic_kidney,pelvic mass,non-gynecologic_,genitourinary_,dx,,,,,,,
2810,peritoneal_cyst,pelvic mass,non-gynecologic_,genitourinary_,dx,,,,,,,
2811,appendiceal_abscess,pelvic mass,non-gynecologic_,gastrointestinal,dx,,,,,,,
2812,diverticular_abscess,pelvic mass,non-gynecologic_,gastrointestinal,dx,,,,,,,
2813,diverticulosis,pelvic mass,non-gynecologic_,gastrointestinal,dx,,,,,,,
2814,rectal/colon_cancer,pelvic mass,non-gynecologic_,gastrointestinal,dx,,,,,,,
2815,ovarian_ectopic_pregnancy,pelvic mass,gynecologic,pregnant,ovary,dx,,,,,,
2816,tubal_ectopic_pregnancy,pelvic mass,gynecologic,pregnant,fallopian_tube,dx,,,,,,
2817,intrauterine_pregnancy,pelvic mass,gynecologic,pregnant,uterus,dx,,,,,,
2818,fibroid,pelvic mass,gynecologic,non-pregnant,uterus,dx,,,,,,
2819,adenomyosis,pelvic mass,gynecologic,non-pregnant,uterus,dx,,,,,,
2820,neoplasm,pelvic mass,gynecologic,non-pregnant,uterus,dx,,,,,,
2821,pyometra,pelvic mass,gynecologic,non-pregnant,uterus,dx,,,,,,
2822,hematometra,pelvic mass,gynecologic,non-pregnant,uterus,dx,,,,,,
2823,tubo-­ovarian_abscess,pelvic mass,gynecologic,non-pregnant,fallopian_tube,dx,,,,,,
2824,paratubal_cyst,pelvic mass,gynecologic,non-pregnant,fallopian_tube,dx,,,,,,
2825,neoplasm,pelvic mass,gynecologic,non-pregnant,fallopian_tube,dx,,,,,,
2826,pyosalpinx,pelvic mass,gynecologic,non-pregnant,fallopian_tube,dx,,,,,,
2827,hydrosalpinx,pelvic mass,gynecologic,non-pregnant,fallopian_tube,dx,,,,,,
2828,hydrosalpinx,pelvic mass,gynecologic,non-pregnant,ovary_,,,,,,,
2829,follicular_cyst,ovarian mass,functional,dx,,,,,,,,
2830,corpus_lutein_cyst,ovarian mass,functional,dx,,,,,,,,
2831,theca_lutein_cyst,ovarian mass,functional,dx,,,,,,,,
2832,polycystic_ovary,ovarian mass,hyperplastic,dx,,,,,,,,
2833,endometrioid_cyst,ovarian mass,hyperplastic,dx,,,,,,,,
2834,fibroma,ovarian mass,benign_neoplasms,sex_cord_stromal_,dx,,,,,,,
2835,thecoma,ovarian mass,benign_neoplasms,sex_cord_stromal_,dx,,,,,,,
2836,granulosa_cell_tumor,ovarian mass,benign_neoplasms,sex_cord_stromal_,dx,,,,,,,
2837,mature_teratoma,ovarian mass,benign_neoplasms,germ_cell,dx,,,,,,,
2838,gonadoblastoma,ovarian mass,benign_neoplasms,germ_cell,dx,,,,,,,
2839,serous_cystadenoma,ovarian mass,benign_neoplasms,epithelial,dx,,,,,,,
2840,mucinous_cystadenoma,ovarian mass,benign_neoplasms,epithelial,dx,,,,,,,
2841,breast,ovarian mass,malignant_neoplasms_,metastases,dx,,,,,,,
2842,krukenberg_tumor,ovarian mass,malignant_neoplasms_,metastases,dx,,,,,,,
2843,granulosa_cell_tumor,ovarian mass,malignant_neoplasms_,sex_cord_stromal_,dx,,,,,,,
2844,sertoli_cell,ovarian mass,malignant_neoplasms_,sex_cord_stromal_,dx,,,,,,,
2845,sertoli-leydig,ovarian mass,malignant_neoplasms_,sex_cord_stromal_,dx,,,,,,,
2846,dysgerminoma,ovarian mass,malignant_neoplasms_,germ_cell,dx,,,,,,,
2847,immature_teratoma,ovarian mass,malignant_neoplasms_,germ_cell,dx,,,,,,,
2848,yolk_sac,ovarian mass,malignant_neoplasms_,germ_cell,dx,,,,,,,
2849,serous_cystadenocarcinoma,ovarian mass,malignant_neoplasms_,epithelial,dx,,,,,,,
2850,mucinous_cystadenocarcinoma,ovarian mass,malignant_neoplasms_,epithelial,dx,,,,,,,
2851,endometrioid,ovarian mass,malignant_neoplasms_,epithelial,dx,,,,,,,
2852,clear_cell,ovarian mass,malignant_neoplasms_,epithelial,dx,,,,,,,
2853,uterine_prolapse,pelvic organ prolapse,uterus_,dx,,,,,,,,
2854,cervical_prolapse,pelvic organ prolapse,uterus_,dx,,,,,,,,
2855,vaginal_vault_prolapse,pelvic organ prolapse,vaginal_apex_,dx,,,,,,,,
2856,cystourethrocele,pelvic organ prolapse,bladder_,dx,,,,,,,,
2857,cystocele,pelvic organ prolapse,bladder_,dx,,,,,,,,
2858,enterocele,pelvic organ prolapse,bowel/rectum_,dx,,,,,,,,
2859,rectocele,pelvic organ prolapse,bowel/rectum_,dx,,,,,,,,
2860,pneumonia,post partum fever,infectious_,respiratory_,dx,,,,,,,
2861,endometritis,post partum fever,infectious_,uterine_,dx,,,,,,,
2862,retained_products_of_conceptions,post partum fever,infectious_,uterine_,dx,,,,,,,
2863,mastitis,post partum fever,infectious_,breasts_,dx,,,,,,,
2864,abcess,post partum fever,infectious_,breasts_,dx,,,,,,,
2865,uti,post partum fever,infectious_,urinary_,dx,,,,,,,
2866,pyelonephritis,post partum fever,infectious_,urinary_,dx,,,,,,,
2867,cesarean_incision,post partum fever,infectious_,wound_,dx,,,,,,,
2868,vaginal_laceration,post partum fever,infectious_,wound_,dx,,,,,,,
2869,episiotomy,post partum fever,infectious_,wound_,dx,,,,,,,
2870,abscess/hematoma,post partum fever,infectious_,wound_,dx,,,,,,,
2871,atelectasis,post partum fever,non-infectious_,respiratory_,dx,,,,,,,
2872,pe,post partum fever,non-infectious_,respiratory_,dx,,,,,,,
2873,dvt,post partum fever,non-infectious_,thrombotic_,dx,,,,,,,
2874,septic_pelvic,post partum fever,non-infectious_,thrombotic_,dx,,,,,,,
2875,thrombophlebitis,post partum fever,non-infectious_,thrombotic_,dx,,,,,,,
2876,uterine_fatigue,post-partum hemorrhage,uterine_atony_,dx,,,,,,,,
2877,overdistension_of_uterus,post-partum hemorrhage,uterine_atony_,dx,,,,,,,,
2878,bladder_distension,post-partum hemorrhage,uterine_atony_,dx,,,,,,,,
2879,uterine_infection,post-partum hemorrhage,uterine_atony_,dx,,,,,,,,
2880,functional/anatomic_distortion_of_uterus,post-partum hemorrhage,uterine_atony_,dx,,,,,,,,
2881,drugs_–_uterine_relaxants,post-partum hemorrhage,uterine_atony_,dx,,,,,,,,
2882,perineal_laceration,post-partum hemorrhage,trauma,dx,,,,,,,,
2883,vaginal_laceration/_hematoma,post-partum hemorrhage,trauma,dx,,,,,,,,
2884,cervical_laceration,post-partum hemorrhage,trauma,dx,,,,,,,,
2885,uterine_rupture,post-partum hemorrhage,trauma,dx,,,,,,,,
2886,uterine_inversion,post-partum hemorrhage,trauma,dx,,,,,,,,
2887,retained_blood_clots,post-partum hemorrhage,remnant_tissue,dx,,,,,,,,
2888,retained_cotyledon_or_succenturiate_lobe,post-partum hemorrhage,remnant_tissue,dx,,,,,,,,
2889,abnormal_placentation,post-partum hemorrhage,remnant_tissue,dx,,,,,,,,
2890,thrombocytopenia,post-partum hemorrhage,thrombin,dx,,,,,,,,
2891,idiopathic_thrombocytopenic_purpura,post-partum hemorrhage,thrombin,dx,,,,,,,,
2892,thrombotic_thrombocytopenic_purpura,post-partum hemorrhage,thrombin,dx,,,,,,,,
2893,hellp_syndrome,post-partum hemorrhage,thrombin,dx,,,,,,,,
2894,disseminated_intravascular_coagulation,post-partum hemorrhage,thrombin,dx,,,,,,,,
2895,anti-coagulation_agents,post-partum hemorrhage,thrombin,dx,,,,,,,,
2896,pre-existing_coagulopathy,post-partum hemorrhage,thrombin,dx,,,,,,,,
2897,endometrium,vaginal discharge,neoplastic,dx,,,,,,,,
2898,cervix,vaginal discharge,neoplastic,dx,,,,,,,,
2899,vulva,vaginal discharge,neoplastic,dx,,,,,,,,
2900,vaginal,vaginal discharge,neoplastic,dx,,,,,,,,
2901,chemical_irritant,vaginal discharge,inflammatory,local,dx,,,,,,,
2902,douching,vaginal discharge,inflammatory,local,dx,,,,,,,
2903,atrophic_vaginitis,vaginal discharge,inflammatory,local,dx,,,,,,,
2904,foreign_body,vaginal discharge,inflammatory,local,dx,,,,,,,
2905,lichen_planus,vaginal discharge,inflammatory,local,dx,,,,,,,
2906,crohn’s_disease,vaginal discharge,inflammatory,systemic,dx,,,,,,,
2907,collagen_vascular_disease,vaginal discharge,inflammatory,systemic,dx,,,,,,,
2908,dermatologic,vaginal discharge,inflammatory,systemic,dx,,,,,,,
2909,vulvovaginal_candidiasis,vaginal discharge,infectious_,vulvovaginitis,dx,,,,,,,
2910,bacterial_vaginosis,vaginal discharge,infectious_,vulvovaginitis,dx,,,,,,,
2911,trichomonas_vaginalis,vaginal discharge,infectious_,vulvovaginitis,dx,,,,,,,
2912,chlamydia_trachomatis,vaginal discharge,infectious_,sexually_transmitted_infection_,dx,,,,,,,
2913,neisseria_gonorrhoeae,vaginal discharge,infectious_,sexually_transmitted_infection_,dx,,,,,,,
2914,thermal_burn,burns,physical_agents,dx,,,,,,,,
2915,cold_burn,burns,physical_agents,dx,,,,,,,,
2916,electrical_burn,burns,physical_agents,dx,,,,,,,,
2917,sun_burn,burns,physical_agents,dx,,,,,,,,
2918,acid,burns,chemical_agents_,dx,,,,,,,,
2919,alkali,burns,chemical_agents_,dx,,,,,,,,
2920,oxidants,burns,chemical_agents_,dx,,,,,,,,
2921,vesicants,burns,chemical_agents_,dx,,,,,,,,
2922,others,burns,chemical_agents_,dx,,,,,,,,
2923,melasma,dermatoses in pregnancy,physiologic_skin_changes_,pigmented,face,dx,,,,,,
2924,linean_nigra,dermatoses in pregnancy,physiologic_skin_changes_,pigmented,abdomen,dx,,,,,,
2925,"hyperpigmentation_of_areolae,_axillae_&_genitalia",dermatoses in pregnancy,physiologic_skin_changes_,pigmented,hormone_induced_,dx,,,,,,
2926,increase_in_mole_size_&_number,dermatoses in pregnancy,physiologic_skin_changes_,pigmented,hormone_induced_,dx,,,,,,
2927,palmar_erythema,dermatoses in pregnancy,physiologic_skin_changes_,vascular,skin,dx,,,,,,
2928,spider_nevi,dermatoses in pregnancy,physiologic_skin_changes_,vascular,skin,dx,,,,,,
2929,cherry_hemangioma,dermatoses in pregnancy,physiologic_skin_changes_,vascular,skin,dx,,,,,,
2930,pyogenic_granuloma,dermatoses in pregnancy,physiologic_skin_changes_,vascular,skin,dx,,,,,,
2931,chadwick’s_sign,dermatoses in pregnancy,physiologic_skin_changes_,vascular,mucous_membranes_,dx,,,,,,
2932,striae_distensae,dermatoses in pregnancy,physiologic_skin_changes_,other,dx,,,,,,,
2933,distal_onycholysis,dermatoses in pregnancy,physiologic_skin_changes_,other,dx,,,,,,,
2934,subungual_keratosis,dermatoses in pregnancy,physiologic_skin_changes_,other,dx,,,,,,,
2935,hyperhidrosis,dermatoses in pregnancy,physiologic_skin_changes_,other,dx,,,,,,,
2936,miliaria,dermatoses in pregnancy,physiologic_skin_changes_,other,dx,,,,,,,
2937,dyshidrotic_eczema,dermatoses in pregnancy,physiologic_skin_changes_,other,dx,,,,,,,
2938,hirsutism,dermatoses in pregnancy,physiologic_skin_changes_,other,dx,,,,,,,
2939,intrahepatic_cholestasis_of_pregnancy,dermatoses in pregnancy,skin_changes_conditions_,pruritic,non-primary_skin_lesion_,dx,,,,,,
2940,pemphigoid_gestationis,dermatoses in pregnancy,skin_changes_conditions_,pruritic,primary_skin_lesion_,dx,,,,,,
2941,pruritic_urticarial_plaques_&_papules_of_pregnancy,dermatoses in pregnancy,skin_changes_conditions_,pruritic,primary_skin_lesion_,dx,,,,,,
2942,pustular_psoriasis_of_pregnancy,dermatoses in pregnancy,skin_changes_conditions_,non-pruritic,dx,,,,,,,
2943,impetigo_herpetiformis,dermatoses in pregnancy,skin_changes_conditions_,non-pruritic,dx,,,,,,,
2944,freckles,disorder of pigmentation,hyperpigmentation,localized,acquired,dx,,,,,,
2945,lentigines,disorder of pigmentation,hyperpigmentation,localized,acquired,dx,,,,,,
2946,melasma,disorder of pigmentation,hyperpigmentation,localized,acquired,dx,,,,,,
2947,tinea_versicolor,disorder of pigmentation,hyperpigmentation,localized,acquired,dx,,,,,,
2948,post-inflammatory_hyperpigmentation,disorder of pigmentation,hyperpigmentation,localized,acquired,dx,,,,,,
2949,café_au_lait_macules,disorder of pigmentation,hyperpigmentation,localized,congenital,dx,,,,,,
2950,congenital_melanocytic_nevi,disorder of pigmentation,hyperpigmentation,localized,congenital,dx,,,,,,
2951,tanning,disorder of pigmentation,hyperpigmentation,diffuse,dx,,,,,,,
2952,adverse_cutaneous_drug_eruption,disorder of pigmentation,hyperpigmentation,diffuse,dx,,,,,,,
2953,addison’s_disease,disorder of pigmentation,hyperpigmentation,diffuse,dx,,,,,,,
2954,hemochromatosis,disorder of pigmentation,hyperpigmentation,diffuse,dx,,,,,,,
2955,porphyria_cutanea_tarda,disorder of pigmentation,hyperpigmentation,diffuse,dx,,,,,,,
2956,vitiligo,disorder of pigmentation,hypopigmentation,localized,acquired,acquired,dx,,,,,
2957,post-inflammatory_hypopigmentation,disorder of pigmentation,hypopigmentation,localized,acquired,acquired,dx,,,,,
2958,tinea_versicolor,disorder of pigmentation,hypopigmentation,localized,acquired,scale,dx,,,,,
2959,pityriasis_alba,disorder of pigmentation,hypopigmentation,localized,acquired,scale,dx,,,,,
2960,tuberous_sclerosis,disorder of pigmentation,hypopigmentation,localized,congenital,dx,,,,,,
2961,vitiligo,disorder of pigmentation,hypopigmentation,diffuse,acquired,dx,,,,,,
2962,phenylketonuria,disorder of pigmentation,hypopigmentation,diffuse,congenital,dx,,,,,,
2963,albinism,disorder of pigmentation,hypopigmentation,diffuse,congenital,dx,,,,,,
2964,piebaldism,disorder of pigmentation,hypopigmentation,diffuse,congenital,dx,,,,,,
2965,squamous_cell_carcinoma,genital lesion,elevated,papules/plaques,non-infectious,non-infectious,dx,,,,,
2966,melanoma,genital lesion,elevated,papules/plaques,non-infectious,non-infectious,dx,,,,,
2967,lichen_planus,genital lesion,elevated,papules/plaques,non-infectious,inflammatory,dx,,,,,
2968,psoriasis,genital lesion,elevated,papules/plaques,non-infectious,inflammatory,dx,,,,,
2969,molluscum_contagiousum,genital lesion,elevated,papules/plaques,infectious,dx,,,,,,
2970,human_papilloma_virus_warts,genital lesion,elevated,papules/plaques,infectious,dx,,,,,,
2971,secondary_syphilis,genital lesion,elevated,papules/plaques,infectious,dx,,,,,,
2972,reiter’s_syndrome,genital lesion,elevated,papules/plaques,infectious,dx,,,,,,
2973,herpes_simplex,genital lesion,elevated,vesicles,dx,dx,,,,,,
2974,primary_syphilis,genital lesion,depressed,erosions/ulcers,painless,dx,,,,,,
2975,granuloma_inguinale,genital lesion,depressed,erosions/ulcers,painless,dx,,,,,,
2976,lymphogranuloma_venereum,genital lesion,depressed,erosions/ulcers,painless,dx,,,,,,
2977,herpes_simplex,genital lesion,depressed,erosions/ulcers,painful,dx,,,,,,
2978,haemophilus_ducreyi,genital lesion,depressed,erosions/ulcers,painful,dx,,,,,,
2979,behçet’s_syndrome,genital lesion,depressed,erosions/ulcers,painful,dx,,,,,,
2980,pemphigus_vulgaris,genital lesion,depressed,erosions/ulcers,painful,dx,,,,,,
2981,lichen_sclerosis,genital lesion,depressed,erosions/ulcers,painful,dx,,,,,,
2982,erosive_lichen_planus,genital lesion,depressed,erosions/ulcers,painful,dx,,,,,,
2983,scabies,genital lesion,depressed,excoriations,dx,,,,,,,
2984,pubic_lice,genital lesion,depressed,excoriations,dx,,,,,,,
2985,lupus_erythematosus,hair loss,diffuse,scarring,dx,,,,,,,
2986,lichen_planopilaris,hair loss,diffuse,scarring,dx,,,,,,,
2987,androgenetic_alopecia,hair loss,diffuse,non-scarring,pattern,dx,,,,,,
2988,chemotherapy,hair loss,diffuse,non-scarring,anagen_effluvium,dx,,,,,,
2989,loose_anagen_syndrome,hair loss,diffuse,non-scarring,anagen_effluvium,dx,,,,,,
2990,alopecia_totalis,hair loss,diffuse,non-scarring,discrete_patches,dx,,,,,,
2991,alopecia_universalis,hair loss,diffuse,non-scarring,discrete_patches,dx,,,,,,
2992,hypothyroidism,hair loss,diffuse,non-scarring,telogen_effluvium,endocrine,dx,,,,,
2993,hyperthyroidism,hair loss,diffuse,non-scarring,telogen_effluvium,endocrine,dx,,,,,
2994,hypopituitarism,hair loss,diffuse,non-scarring,telogen_effluvium,endocrine,dx,,,,,
2995,post-partum,hair loss,diffuse,non-scarring,telogen_effluvium,endocrine,dx,,,,,
2996,iron_deficiency,hair loss,diffuse,non-scarring,telogen_effluvium,dietary,dx,,,,,
2997,zinc_deficiency,hair loss,diffuse,non-scarring,telogen_effluvium,dietary,dx,,,,,
2998,copper_deficiency,hair loss,diffuse,non-scarring,telogen_effluvium,dietary,dx,,,,,
2999,vitamin_a_excess,hair loss,diffuse,non-scarring,telogen_effluvium,dietary,dx,,,,,
3000,oral_contraceptives,hair loss,diffuse,non-scarring,telogen_effluvium,drugs,dx,,,,,
3001,hyperthyroid_drugs,hair loss,diffuse,non-scarring,telogen_effluvium,drugs,dx,,,,,
3002,anticoagulants,hair loss,diffuse,non-scarring,telogen_effluvium,drugs,dx,,,,,
3003,lithium,hair loss,diffuse,non-scarring,telogen_effluvium,drugs,dx,,,,,
3004,post-infectious,hair loss,diffuse,non-scarring,telogen_effluvium,stress_related,dx,,,,,
3005,post-operative,hair loss,diffuse,non-scarring,telogen_effluvium,stress_related,dx,,,,,
3006,psychological_stress,hair loss,diffuse,non-scarring,telogen_effluvium,stress_related,dx,,,,,
3007,tinea_captis_with_kerion,hair loss,localized,scarring,infectious,dx,,,,,,
3008,folliculitis_decalvans,hair loss,localized,scarring,infectious,dx,,,,,,
3009,discoid_lupus_erythematosus,hair loss,localized,scarring,secondary_to_skin_disease,dx,,,,,,
3010,lichen_planopilaris,hair loss,localized,scarring,secondary_to_skin_disease,dx,,,,,,
3011,pseudopelade_of_brocq,hair loss,localized,scarring,secondary_to_skin_disease,dx,,,,,,
3012,alopecia_mucinosa,hair loss,localized,scarring,secondary_to_skin_disease,dx,,,,,,
3013,keratosis_follicularis,hair loss,localized,scarring,secondary_to_skin_disease,dx,,,,,,
3014,aplasia_cutis,hair loss,localized,scarring,secondary_to_skin_disease,dx,,,,,,
3015,tinea_capitis,hair loss,localized,non-scarring,broken_hair_shafts,dx,,,,,,
3016,trichotillomania,hair loss,localized,non-scarring,broken_hair_shafts,dx,,,,,,
3017,traction_alopecia,hair loss,localized,non-scarring,broken_hair_shafts,dx,,,,,,
